Name,Pos,Team,VOR,VOR Rank,ADP Rank,Average ADP,predicted_fantasy_points,Positional_Rank,Proj_Points_Normalized,ADP Normalized,Composite_Score,Tier,Overall_Rank,Cluster,Positional_Rank_Within_Tier
Justin Herbert,QB,LAC,0.6544252823251335,89.0,113.0,114.0,296.0414746254486,13.0,0.8110385252578796,0.6617210682492581,167.80639482347166,1,73.0,6,73.0
Anthony Richardson,QB,IND,0.6495228924100499,92.0,53.0,54.3,293.580954272195,14.0,0.8042976562590524,0.8388724035608308,167.65149222687072,1,74.0,31,74.0
Mark Andrews,TE,BAL,0.6581458460999737,85.0,49.0,51.3,166.423243487511,2.0,0.45593497376512876,0.8477744807121662,165.80483337812956,2,75.0,9,1.0
Marvin Harrison Jr.,WR,ARI,0.688348069683971,63.0,16.0,16.7,165.41457093924785,33.0,0.45317160320346517,0.9504451038575668,165.46975021840885,2,76.0,9,2.0
Rashid Shaheed,WR,NO,0.6938194869999125,60.0,132.0,131.0,165.34819119957473,34.0,0.45298974852840784,0.6112759643916914,165.3786927903505,2,77.0,2,3.0
Deshaun Watson,QB,CLE,0.6258425982666551,116.0,140.0,140.7,288.38182472022413,16.0,0.7900540629591944,0.5824925816023739,164.13859756947787,2,78.0,12,4.0
Matthew Stafford,QB,LAR,0.6275496804692289,113.0,131.0,130.3,288.4726707374877,15.0,0.7903029457211798,0.6133531157270029,164.11799389174573,2,79.0,12,5.0
Geno Smith,QB,SEA,0.633808981878666,104.0,154.0,155.0,287.94851806744,17.0,0.788866971221109,0.5400593471810089,163.99957880026057,2,80.0,12,6.0
Kirk Cousins,QB,ATL,0.6222971198459251,122.0,124.0,124.3,287.29283437399476,18.0,0.7870706528625403,0.6311572700296736,163.81460475990096,2,81.0,12,7.0
Kyler Murray,QB,ARI,0.6684321106539438,77.0,72.0,73.0,284.98441641222183,20.0,0.7807464852716179,0.7833827893175074,163.6436254691059,2,82.0,31,8.0
Gus Edwards,RB,LAC,0.6261927689748753,115.0,125.0,124.7,163.58861496615629,28.0,0.44816919385701914,0.6299703264094956,163.4683428811263,2,83.0,2,9.0
George Kittle,TE,SF,0.6651492602643788,79.0,73.0,73.3,163.59372990414062,3.0,0.4481832067981614,0.7824925816023739,163.40935795519243,2,84.0,27,10.0
Baker Mayfield,QB,TB,0.6305699028276285,109.0,145.0,143.3,286.3106654418695,19.0,0.7843798919032091,0.5747774480712166,163.4072908006736,2,85.0,12,11.0
Nick Chubb,RB,CLE,0.6255361988969623,117.0,118.0,119.0,162.64934655624953,29.0,0.4455959636467728,0.6468842729970327,162.65130216531378,2,86.0,2,12.0
Malik Nabers,WR,NYG,0.6841897925238555,68.0,42.0,43.7,162.51738644405938,35.0,0.4452344442518334,0.870326409495549,162.436280670692,2,87.0,9,13.0
Zack Moss,RB,CIN,0.6384487437625844,99.0,85.0,86.3,161.88966890315533,30.0,0.44351474227663734,0.7439169139465875,161.75449875426165,2,88.0,21,14.0
Javonte Williams,RB,DEN,0.6288190492865272,112.0,96.0,97.3,161.65074869354592,31.0,0.44286019380601827,0.7112759643916914,161.68559270099965,2,89.0,21,15.0
Aaron Rodgers,QB,NYJ,0.616387989144708,125.0,138.0,139.7,281.2330208345028,21.0,0.7704691201123558,0.585459940652819,161.66171192389643,2,90.0,12,16.0
Alvin Kamara,RB,NO,0.6325396130613674,107.0,58.0,57.3,161.37212182479377,32.0,0.44209686452921376,0.8299703264094955,161.33898851901245,2,91.0,9,17.0
Courtland Sutton,WR,DEN,0.6686509673465815,76.0,101.0,101.7,161.20081577418432,36.0,0.44162755256260566,0.698219584569733,161.21673369301928,2,92.0,27,18.0
Austin Ekeler,RB,WAS,0.6419504508447869,97.0,98.0,98.7,160.88778539757965,33.0,0.4407699710520299,0.7071216617210683,161.04814235687124,2,93.0,21,19.0
DeVonta Smith,WR,PHI,0.6830955090606672,69.0,37.0,35.3,161.07048725260768,37.0,0.44127050309150606,0.8952522255192878,161.0461306476544,2,94.0,9,20.0
Josh Jacobs,RB,GB,0.6528932854766699,90.5,39.0,40.0,160.67583750603106,34.0,0.44018931624475816,0.8813056379821959,160.84079837932694,2,95.0,9,21.0
Tyler Lockett,WR,SEA,0.6936006303072748,61.0,119.0,120.0,159.08206779268014,38.0,0.4358230069647756,0.6439169139465875,159.0409374777276,2,96.0,2,22.0
Sam LaPorta,TE,DET,0.6290379059791648,111.0,26.0,28.3,159.15094956732688,4.0,0.43601171624274865,0.9160237388724035,159.03028791562272,2,97.0,9,23.0
